路径,字节,Git跟踪,处理建议
bgm_wasteland.wav,7938044,True,未接入音频及生成源：先裁定归档位置
generate_bgm.py,5804,True,未接入音频及生成源：先裁定归档位置
_scratch/TFS3D.orig,74743,True,历史备份：逐件核对后清理
_scratch/_daily_2026-09-19.bak.md,178904,True,历史备份：逐件核对后清理
Godot/editor_settings-4.6.tres,3276,True,本机存档/设备文件：先备份个人数据后迁出
Godot/app_userdata/弹壳风暴2/speech_bubble_preview.png.import,1000,False,本机存档/设备文件：先备份个人数据后迁出
Godot/app_userdata/弹壳风暴2/base_save.json,18349,True,本机存档/设备文件：先备份个人数据后迁出
Godot/app_userdata/弹壳风暴2/dialogue_ui_preview.png,36380,True,本机存档/设备文件：先备份个人数据后迁出
Godot/app_userdata/弹壳风暴2/dialogue_ui_preview.png.import,993,False,本机存档/设备文件：先备份个人数据后迁出
Godot/app_userdata/弹壳风暴2/speech_bubble_preview.png,34054,True,本机存档/设备文件：先备份个人数据后迁出
Godot/app_userdata/弹壳风暴2/vulkan/pipelines.forward_plus.nvidia_geforce_rtx_4060_ti.cache,11509665,True,本机存档/设备文件：先备份个人数据后迁出
assets/registry/ShellStorm2_美术资产台账_v001.xlsx.bak_safe_room_v007,246023,True,历史备份：逐件核对后清理
assets/registry/ShellStorm2_美术资产台账_v001.xlsx.bak_pre_conflict_merge,247485,True,历史备份：逐件核对后清理
assets/registry/ShellStorm2_美术资产台账_v001.xlsx.bak_wall_door_5m,243131,True,历史备份：逐件核对后清理
assets/registry/ShellStorm2_美术资产台账_v001.xlsx.bak_floor_tile_5m,239276,True,历史备份：逐件核对后清理
assets/registry/ShellStorm2_美术资产台账_v001.xlsx.bak_tower_modules_prefab,245223,True,历史备份：逐件核对后清理
assets/registry/ShellStorm2_美术资产台账_v001.xlsx.bak_common_components_v004,244317,True,历史备份：逐件核对后清理
assets/art/shared/palette/设施低亮多巴胺色盘_10x10_512.png.import.bak_pre_standard_fix,1331,True,历史备份：逐件核对后清理
assets/art/environments/tower_zones/battle/source/main_room_02/v003/局内关卡01_主路内容房02_数据机房美术_v003.blend1,2609650,False,无同名主文件的Blender备份：保留待核
assets/art/environments/tower_zones/battle/source/common_components/v003/战局区块_通用组件库_v003.blend.bak_before_wall_door,2068906,True,历史备份：逐件核对后清理
assets/art/environments/tower_zones/battle/source/common_components/v004/战局区块_通用组件库_v004.blend.bak_before_rebuild,9172702,True,历史备份：逐件核对后清理
assets/art/environments/tower_zones/battle/source/common_components/v003/component_packages_v003/catalog.json.bak_finalize_wall_door,24861,True,历史备份：逐件核对后清理
assets/art/environments/tower_zones/battle/source/common_components/v003/component_packages_v003/catalog.json.bak_sync_export_status,24206,True,历史备份：逐件核对后清理
assets/art/environments/tower_zones/battle/source/common_components/v003/component_packages_v003/08/wall_standard_5m/asset_manifest.json.bak_finalize_wall_door,963,True,历史备份：逐件核对后清理
assets/art/environments/tower_zones/battle/source/entry_safe_room/v001/局内关卡01_入口安全房_正式美术_v001.blend1,597937,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_90x80m_top3d_v017.blend1,32666168,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_90x80m_top3d_v021.blend1,32491428,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_lighting_day_v011.blend1,29734740,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v001.blend1,8460604,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v011.blend1,28906020,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v003.blend1,9260128,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_90x80m_top3d_v015.blend1,31669252,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_90x80m_top3d_v013.blend1,30560096,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v009.blend1,23089300,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v005.blend1,9249404,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_90x80m_top3d_v016.blend1,32017328,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_90x80m_top3d_v014.blend1,31060128,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_90x80m_top3d_v021.blend.bak,32921116,False,历史备份：逐件核对后清理
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v010.blend1,23025588,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v002.blend1,8409168,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v006.blend1,22865708,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v008.blend1,23081996,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_50m_top3d_v004.blend1,9419576,False,无同名主文件的Blender备份：保留待核
assets/art/environments/rooftop_shelter_3d/source/env_rooftop_shelter_90x80m_top3d_v012.blend1,29922576,False,无同名主文件的Blender备份：保留待核
output/reference_pink_room_v001/场景结构验收.json,39402,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/粉色电竞卧室_高还原_v001.blend.import,1764,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/原始空场景备份.blend,933148,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/原始空场景备份.blend.import,1728,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/粉色电竞卧室_高还原_v001.blend,14220928,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/交付说明.md,3064,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/游戏输出规则检查_非本次交付范围.json,273364,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/game_validator.log,273803,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v002/Q弹果冻_重力交互_v002.blend.import,1742,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v002/kawaii_jelly_interaction.py,17353,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v002/Q弹果冻_重力交互_v002.blend,2493516,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v002/重力_硬软_固定切面_摇晃测试.json,4260,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v002/blender_live.log,1388,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/实际鼠标交互记录.json,765,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/球体防穿透_正面并排测试.json,344,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/kawaii_jelly_interaction.zip,9778,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/Q弹果冻_重力挤压复制_v003.blend.import,1760,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/使用说明.md,3748,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/Q弹果冻_重力挤压复制_v003.blend,3986032,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/球体防穿透_硬度75测试.json,345,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/kawaii_jelly_interaction.py,30804,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/重力_硬软_固定切面_摇晃测试.json,4260,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/blender_live.log,786,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/球体防穿透_硬度90测试.json,345,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/球体防穿透_硬度12测试.json,344,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/球体凹陷_恢复_复制独立性测试.json,518,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/拖拽控制器测试.json,242,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/kawaii_jelly_interaction.zip,4156,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/Q弹果冻_可交互_v001.blend,2489564,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/使用说明.md,1893,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/制作前空场景.blend,932348,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/弹性与固定底面测试.json,1181,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/实时运行采样.json,2355,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/制作前空场景.blend.import,1712,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/kawaii_jelly_interaction.py,12075,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/blender_live.log,1244,False,其他项目样例：建议迁出，非自动删除许可
